url,latitude,longitude,image_url,Use of property,Year built,Available area,Building area (at ground level),Number of units,Building style,Lot area,Parking,"
Residential units                        ",Main unit,Potential gross revenue,Zoning,Type of business,Additional features,Fireplace/Stove,"
Residential unit                        "
https://www.centris.ca/en/commercial-buildings~for-rent~le-vieux-longueuil-longueuil/9944101?view=Summary&uc=2,45.515628,-73.466056,https://mspublic.centris.ca/media.ashx?id=ADDD250D4680C7ADDF0974ED11&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1972,"11,179 sqft","11,179 sqft",Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/18268230?view=Summary,45.53494546,-73.5615702,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DBF094D11A7DCAD1B&t=pi&w=1024&h=1024&sm=c,Residential only,1986,,,Residential (4),Attached,"2,953 sqft",Driveway (4),"3 x 4 ½, 1 x 5 ½","5 rooms, 3 bedrooms, 1 bathroom/powder room","$45,660",,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~saint-felicien/23483280?view=Summary&uc=2,48.649739,-72.442477,https://mspublic.centris.ca/media.ashx?id=ADDD250D4667B27D1AAE2FDD1F&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"From 130 sqft to 1,194 sqft",,Office (5),,,,,,,,,,,
https://www.centris.ca/en/lots~for-rent~ville-marie-montreal/24833018?view=Summary&uc=2,45.49669329,-73.57020866,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D090DFD1085968D11&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,Residential,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~terrebonne-terrebonne/10740649?view=Summary&uc=2,45.71283707,-73.81870081,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D33BA6DD82528FD12&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1990,"From 2,000 sqft to 13,000 sqft",,Commercial (3),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~hull-gatineau/9586050?view=Summary&uc=2,45.45927,-75.741352,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D861D9DDF4CEB4D1E&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,120 sqft,120 sqft,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~mirabel/21162963?view=Summary&uc=2,45.68000799,-73.92886688,https://mspublic.centris.ca/media.ashx?id=ADDD250D47DE18CD1C45932D11&t=pi&w=1024&h=1024&sm=c,Commercial only,2016,225 sqft,,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-rent~mcmasterville/20224899?view=Summary&uc=2,45.55618203,-73.22969462,https://mspublic.centris.ca/media.ashx?id=ADDD250D46F90A0D12CF9B2D11&t=pi&w=1024&h=1024&sm=c,Offices only,Unknown age,133 sqft,,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~aylmer-gatineau/25901581?view=Summary&uc=2,45.394746,-75.836579,https://mspublic.centris.ca/media.ashx?id=ADDD250D45D5D5ED1B928D3D11&t=pi&w=1024&h=1024&sm=c,Commercial only,2004,"3,000 sqft",,Commercial (1),,"141,950 sqft",,,,,,,,,
https://www.centris.ca/en/businesses~for-sale~ville-marie-montreal/12902486?view=Summary,45.510807,-73.562991,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D0F9A8DD7C5DEAD1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,,Ice cream shop,,,
https://www.centris.ca/en/4plex~for-sale~ville-marie-montreal/11694040?view=Summary,45.51516125,-73.56564625,https://mspublic.centris.ca/media.ashx?id=ADDD250D466A420DD94A63BD1C&t=pi&w=1024&h=1024&sm=c,Residential and commercial,"1870, Century",,970 sqft,Residential (4),Attached,"2,915 sqft",Driveway (4),4 x 4 ½,"4 rooms, 1 bedroom, 1 bathroom/powder room","$79,800",,,Basement 6 feet or +,,
https://www.centris.ca/en/commercial-buildings~for-rent~lachine-montreal/26256170?view=Summary&uc=2,45.434668,-73.684866,https://mspublic.centris.ca/media.ashx?id=ADDD250D463384FD1FD8248D1E&t=pi&w=1024&h=1024&sm=c,Commercial only,Unknown age,"5,439 sqft","5,439 sqft",Commercial (1),,"18,610 sqft",,,,,,,,,
https://www.centris.ca/en/lots~for-sale~ville-marie-montreal/20846343?view=Summary,45.49670053,-73.57493336,https://mspublic.centris.ca/media.ashx?id=ADDD250D47A0932D12510D0D1F&t=pi&w=1024&h=1024&sm=c,,,,,,,,,,,,"Commercial, Residential",,,,
https://www.centris.ca/en/commercial-units~for-rent~jonquiere-saguenay/24167818?view=Summary&uc=2,48.42263804,-71.24181553,https://mspublic.centris.ca/media.ashx?id=ADDD250D2DEBC2FD10D7EB8D12&t=pi&w=1024&h=1024&sm=c,Offices only,1991,"2,394 sqft",,Office (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~granby/17495615?view=Summary&uc=2,45.40883046,-72.72695576,https://mspublic.centris.ca/media.ashx?id=ADDD250D2D5B9C8D1D86A26D1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,,"2,400 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~lachine-montreal/15882480?view=Summary&uc=2,45.43506942,-73.67142729,https://mspublic.centris.ca/media.ashx?id=ADDD250D4622A51DD64EB6DD11&t=pi&w=1024&h=1024&sm=c,Commercial only,,"3,800 sqft",,Commercial (1),,,,,,,,,,,
https://www.centris.ca/en/commercial-units~for-rent~sorel-tracy/22342600?view=Summary&uc=2,46.036179,-73.093869,https://mspublic.centris.ca/media.ashx?id=ADDD250D4A9E5E7D1EC597BD1A&t=pi&w=1024&h=1024&sm=c,Commercial and office space,1992,"From 392 sqft to 3,037 sqft",,Commercial (5),,,,,,,,,,,
https://www.centris.ca/en/commercial-buildings~for-sale~ville-marie-montreal/21395147?view=Summary,45.51552341,-73.56417247,https://mspublic.centris.ca/media.ashx?id=ADDD250D4C8FA28D1CA0A79D12&t=pi&w=1024&h=1024&sm=c,Commercial and residential,1900,"From 2,800 sqft to 5,600 sqft","1,965 sqft",Commercial (2),,,,,,,,Restaurant,,,
