latitude,longitude,Units,Construction Year,Type,Area,Floors,Height
45.5019987,-73.553966,8.0,1880.0,residential,598.0,4.0,30.0
45.5018286,-73.55394790000003,8.0,1967.0,residential,378.0,5.0,37.5
45.5041243,-73.5648195,8.0,1925.0,residential,344.0,5.0,37.5
45.501861,-73.554396,1.0,1832.0,residential,187.0,2.0,15.0
45.504475,-73.56401799999998,5.0,1900.0,residential,439.0,4.0,30.0
45.5020379,-73.5546131,14.0,1941.0,residential,479.0,3.0,22.5
45.5074511,-73.5727216,32.0,1925.0,residential,1182.0,4.0,30.0
45.5076145,-73.573094,76.0,1958.0,residential,591.0,10.0,75.0
45.50236140000001,-73.55501159999999,1.0,1890.0,residential,50.0,1.0,7.5
45.50770139999999,-73.57327529999998,161.0,1964.0,residential,1186.0,11.0,82.5
45.5081768,-73.5741929,55.0,1961.0,residential,911.0,5.0,37.5
45.502534,-73.55528000000002,1.0,1890.0,residential,42.0,1.0,7.5
45.508194,-73.5744699,1.0,1870.0,residential,66.0,1.0,7.5
45.502534,-73.55528000000002,1.0,1890.0,residential,42.0,1.0,7.5
45.50823920000001,-73.57446089999998,1.0,1870.0,residential,80.0,1.0,7.5
45.5081567,-73.57439980000002,1.0,1870.0,residential,80.0,1.0,7.5
45.50823920000001,-73.57446089999998,1.0,1870.0,residential,75.0,1.0,7.5
45.50236140000001,-73.55501159999999,1.0,1890.0,residential,75.0,1.0,7.5
45.5081567,-73.57439980000002,1.0,1870.0,residential,75.0,1.0,7.5
45.50823920000001,-73.57446089999998,1.0,1870.0,residential,84.0,1.0,7.5
45.508596,-73.574968,94.0,1929.0,residential,3291.0,4.0,30.0
45.5087196,-73.57549250000002,6.0,1900.0,residential,502.0,3.0,22.5
45.5088334,-73.5757575,15.0,1900.0,residential,605.0,3.0,22.5
45.5088556,-73.57577540000003,44.0,1960.0,residential,558.0,8.0,60.0
45.5089266,-73.5759563,24.0,1928.0,residential,702.0,4.0,30.0
45.5090519,-73.5761069,1.0,1900.0,residential,79.0,5.0,37.5
45.5090519,-73.5761069,1.0,1900.0,residential,38.0,1.0,7.5
45.509138,-73.576262,1.0,1900.0,residential,33.0,1.0,7.5
45.509138,-73.576262,1.0,1900.0,residential,33.0,1.0,7.5
