,formatted_address,latitude,longitude,postcode,Floors,Units,Construction Year,Type,Area
0,"215 Rue de la Commune O, Montréal, QC H2Y 3W8, Canada",45.5019987,-73.553966,H2Y 3W8,4.0,8.0,1880.0,Residential,598.0
1,"1015 Rue St-Alexandre, Montréal, QC H2Z 1N9, Canada",45.5030523,-73.562862,H2Z 1N9,11.0,,1861.0,Office,2041.0
2,"221 Rue de la Commune O, Montréal, QC H2Y 2C9, Canada",45.5018286,-73.55394790000001,H2Y 2C9,5.0,8.0,1967.0,Residential,378.0
3,"321 Rue de la Commune O, Montréal, QC H2Y 2E1, Canada",45.5006979,-73.5536529,H2Y 2E1,3.0,,1885.0,Office,681.0
4,"1101 Rue St-Alexandre, Montréal, QC H2Z 1P8, Canada",45.504124299999994,-73.5648195,H2Z 1P8,5.0,8.0,1925.0,Residential,344.0
5,"357 Rue de la Commune O, Montréal, QC H2Y 2E2, Canada",45.49970649999999,-73.55321670000001,H2Y 2E2,4.0,,1875.0,Immeuble commercial,1326.0
6,"1407 Rue St-Alexandre, Montréal, QC J3V 6H1, Canada",45.50561769999999,-73.5679875,J3V 6H1,3.0,,1929.0,Office,178.0
7,"1425 Rue St-Alexandre, Montréal, QC H3A 2G6, Canada",45.505664200000005,-73.56813840000001,H3A 2G6,12.0,,1948.0,Office,2002.0
8,"131 Rue du Port, Montréal, QC H2Y 2N9, Canada",45.501861,-73.554396,H2Y 2N9,2.0,1.0,1832.0,Residential,187.0
9,"400 Rue Dowd, Montréal, QC H2Z 1B7, Canada",45.50406599999999,-73.563982,H2Z 1B7,5.0,,1870.0,Immeuble résidentiel en construction,1587.0
10,"204 Place d'Youville, Montréal, QC H2Y 2B4, Canada",45.50228629999999,-73.5544783,H2Y 2B4,4.0,,1925.0,Office,430.0
11,"371 Rue Dowd, Montréal, QC H2Z 1B6, Canada",45.504475,-73.56401799999998,H2Z 1B6,4.0,5.0,1900.0,Residential,439.0
12,"224 Place d'Youville, Montréal, QC H2Y 2B4, Canada",45.5020379,-73.5546131,H2Y 2B4,3.0,14.0,1941.0,Residential,479.0
13,"3421 Rue Durocher, Montréal, QC H2X 2B4, Canada",45.5074511,-73.5727216,H2X 2B4,4.0,32.0,1925.0,Residential,1182.0
14,"3433 Rue Durocher, Montréal, QC H2X 2C8, Canada",45.5076145,-73.573094,H2X 2C8,10.0,76.0,1958.0,Residential,591.0
15,"203 Place d'Youville, Montréal, QC H2Y 2B3, Canada",45.50236140000001,-73.55501159999999,H2Y 2B3,1.0,1.0,1890.0,Residential,50.0
16,"3455 Durocher, Montréal, QC H2X 2C9, Canada",45.50770139999999,-73.57327529999998,H2X 2C9,11.0,161.0,1964.0,Residential,1186.0
17,"203 Place d'Youville, Montréal, QC H2Y 2B3, Canada",45.50236140000001,-73.55501159999999,H2Y 2B3,1.0,,1890.0,Immeuble commercial,25.0
18,"203 Place d'Youville, Montréal, QC H2Y 2B3, Canada",45.50236140000001,-73.55501159999999,H2Y 2B3,1.0,,1890.0,Autres services professionnels,89.0
19,"3475 Rue Durocher, Montréal, QC H2X 2C6, Canada",45.5081768,-73.5741929,H2X 2C6,5.0,55.0,1961.0,Residential,911.0
20,"206 Rue Saint-Paul O, Montréal, QC H2Y 1Z9, Canada",45.502534000000004,-73.55528000000001,H2Y 1Z9,1.0,1.0,1890.0,Residential,42.0
21,"3489 Rue Durocher, Montréal, QC H2X 2C6, Canada",45.508194,-73.5744699,H2X 2C6,1.0,1.0,1870.0,Residential,66.0
22,"206 Rue Saint-Paul O, Montréal, QC H2Y 1Z9, Canada",45.502534000000004,-73.55528000000001,H2Y 1Z9,1.0,1.0,1890.0,Residential,42.0
23,"3491 Rue Durocher, Montréal, QC H2X 2C6, Canada",45.508239200000006,-73.57446089999998,H2X 2C6,1.0,1.0,1870.0,Residential,80.0
24,"3487 Rue Durocher, Montréal, QC H2X 2C6, Canada",45.5081567,-73.57439980000001,H2X 2C6,1.0,1.0,1870.0,Residential,80.0
25,"3491 Rue Durocher, Montréal, QC H2X 2C6, Canada",45.508239200000006,-73.57446089999998,H2X 2C6,1.0,1.0,1870.0,Residential,75.0
26,"203 Place d'Youville, Montréal, QC H2Y 2B3, Canada",45.50236140000001,-73.55501159999999,H2Y 2B3,1.0,1.0,1890.0,Residential,75.0
27,"3487 Rue Durocher, Montréal, QC H2X 2C6, Canada",45.5081567,-73.57439980000001,H2X 2C6,1.0,1.0,1870.0,Residential,75.0
28,"356 Rue Saint-François-Xavier, Montréal, QC H2Y, Canada",45.50259579999999,-73.5551162,H2Y,4.0,,1870.0,Immeuble commercial,404.0
29,"3491 Rue Durocher, Montréal, QC H2X 2C6, Canada",45.508239200000006,-73.57446089999998,H2X 2C6,1.0,1.0,1870.0,Residential,84.0
