,formatted_address,latitude,longitude,postcode,Height,Floors,Construction Year,Type
0,"1 Rue Quai de l'Horloge, Montréal, QC H2L 5C1, Canada",45.5122503,-73.5458503,H2L 5C1,"1,066",,,Office
1,"1250 René-Lévesque, Montréal, QC H3B 4K4, Canada",45.49732299999999,-73.57038100000003,H3B 4K4,743,47.0,1992.0,Office
2,"539 Rue Sainte-Catherine O, Montréal, QC H3B 3C9, Canada",45.504471,-73.56883990000001,H3B 3C9,722,61.0,2024.0,Autres services professionels
3,"485 Rue McGill, Montréal, QC H2Y 2H4, Canada",45.50108529999999,-73.55917190000002,H2Y 2H4,722,58.0,2022.0,Autres services professionels
4,"1000 De La Gauchetière, 1000 Rue de la Gauchetière O, Montréal, QC H3B 4W5, Canada",45.4981757,-73.5663859,H3B 4W5,673,51.0,1992.0,Office
5,"700 Rue Saint-Jacques, Montréal, QC H3C 1E9, Canada",45.49998710000001,-73.5612939,H3C 1E9,656,58.0,2023.0,Autres services professionels
6,"800 Rue Gauvin, Montréal, QC H4Z 1A1, Canada",45.500884,-73.56176490000001,H4Z 1A1,623,47.0,1964.0,Autres services professionels
7,"1 Place Ville Marie, Montreal, QC H3B 3Y1, Canada",45.5014758,-73.5692531,H3B 3Y1,617,43.0,1962.0,Office
8,"Tour CIBC, Montréal, QC H3B 2L2, Canada",45.4985,-73.5709,H3B 2L2,614,45.0,1962.0,Office
9,"910 Rue Peel, Montréal, QC H3C 2H8, Canada",45.4956791,-73.5678334,H3C 2H8,551,53.0,2019.0,Autres services professionels
10,"Tour des Canadiens, Montréal, QC H3B 3A7, Canada",45.5025,-73.56819999999998,H3B 3A7,548,50.0,2016.0,Office
11,"1501 McGill College, Montréal, QC H3A, Canada",45.502222,-73.57166699999998,H3A,519,36.0,1992.0,Office
12,"1275 Avenue des Canadiens-de-Montréal Suite 110, Montréal, QC H3B 0G4, Canada",45.4964397,-73.5706624,H3B 0G4,482,44.0,2021.0,Autres services professionels
13,"1155 Rue de la Montagne, Montréal, QC H3G 0C7, Canada",45.49692230000001,-73.5727871,H3G 0C7,479,37.0,2017.0,Autres services professionels
14,"Tour KPMG, Montréal, QC H3A, Canada",45.5040953,-73.57092659999998,H3A,479,34.0,1987.0,Office
15,"360 Rue Saint-François-Xavier, Montréal, QC H2Y 2S8, Canada",45.5025925,-73.5551673,H2Y 2S8,476,28.0,,Autres services professionels
16,"1000 de la Montagne, Montréal, QC H3G 1Y7, Canada",45.4957146,-73.570753,H3G 1Y7,453,41.0,2021.0,Autres services professionels
17,"380 Boulevard René-Lévesque O, Montréal, QC H2Z 0A6, Canada",45.5052688,-73.5641983,H2Z 0A6,446,40.0,2014.0,Residential
18,"Tour Bell Média, 1800 Avenue McGill College, Montréal, QC H3A 3J6, Canada",45.5019854,-73.5721975,H3A 3J6,440,30.0,1988.0,Office
19,"Tour Deloitte, Montréal, QC H3C 1B3, Canada",45.49672899999999,-73.56819200000002,H3C 1B3,436,24.0,2015.0,Office
20,"500 Place d'Armes, Montréal, QC H2Y 2W3, Canada",45.50428,-73.557474,H2Y 2W3,435,32.0,1968.0,Office
21,"Tour TELUS, Montréal, QC H3B, Canada",45.5020534,-73.5665047,H3B,430,34.0,1962.0,Office
22,"Tour de la Banque Nationale, 600 Rue de la Gauchetière O, Montréal, QC H3B 4L2, Canada",45.50175420000001,-73.56393179999998,H3B 4L2,420,28.0,1983.0,Office
23,"1000 Sherbrooke, Montréal, QC H3A, Canada",45.5027183,-73.57511579999998,H3A,420,28.0,1974.0,Office
24,"1050 De La Gauchetiere West, Montréal, QC H3B 4C9, Canada",45.49767670000001,-73.56743309999997,H3B 4C9,420,38.0,1967.0,Residential
25,"677 Rue Sainte-Catherine O, Montréal, QC H3B 5K4, Canada",45.50310169999999,-73.570184,H3B 5K4,420,28.0,1983.0,Autres services professionels
26,"Tour Scotia, Montréal, QC H3A 2A7, Canada",45.505866,-73.575525,H3A 2A7,419,27.0,1990.0,Office
27,"1215 Boulevard Robert-Bourassa, Montréal, QC H3B 0C3, Canada",45.5027748,-73.5684694,H3B 0C3,407,33.0,2013.0,Residential
28,"Icône, Montréal, QC H3G 1Z2, Canada",45.497113,-73.57256799999998,H3G 1Z2,407,32.0,2020.0,Office
29,"Le Port-Royal, Montréal, QC H3B 4A5, Canada",45.50123,-73.5679,H3B 4A5,400,33.0,1964.0,Office
30,"1155 Rue Metcalfe, Montréal, QC H3B 2V6, Canada",45.50026130000001,-73.5703016,H3B 2V6,400,26.0,1931.0,Autres services professionels
31,"1185 Boulevard Robert-Bourassa, Montréal, QC H3B 3A7, Canada",45.5024425,-73.5679597,H3B 3A7,397,37.0,2018.0,Autres services professionels
32,"360 Rue Saint-Jacques, Montréal, QC H2Y 2N1, Canada",45.5022725,-73.55923829999998,H2Y 2N1,397,22.0,1928.0,Autres services professionels
33,"1450 Boulevard René-Lévesque O, Montréal, QC H3G 0E1, Canada",45.49456180000001,-73.57386,H3G 0E1,394,38.0,2020.0,Autres services professionels
34,"1 Rue Quai de l'Horloge, Montréal, QC H2L 5C1, Canada",45.5122503,-73.5458503,H2L 5C1,394,38.0,2018.0,Office
35,"1390 Boulevard René-Lévesque O, Montréal, QC H3G 0E3, Canada",45.49551810000001,-73.5731093,H3G 0E3,394,40.0,2017.0,Residential
36,"1300 Boulevard René-Lévesque O, Montréal, QC H3G 0B7, Canada",45.49692260000001,-73.5716582,H3G 0B7,394,40.0,2016.0,Autres services professionels
37,"1300 Boulevard René-Lévesque O, Montréal, QC H3G 0B7, Canada",45.49692260000001,-73.5716582,H3G 0B7,394,40.0,2017.0,Autres services professionels
38,"1201 Boulevard René-Lévesque O, Montréal, QC H3B 2L7, Canada",45.49796250000001,-73.57163609999998,H3B 2L7,386,38.0,1982.0,Residential
39,"1010 Rue de la Gauchetière O, Montréal, QC H3B 2N2, Canada",45.4985083,-73.5689833,H3B 2N2,384,26.0,,Autres services professionels
40,"1010 Rue de la Gauchetière O, Montréal, QC H3B 2N2, Canada",45.4985083,-73.5689833,H3B 2N2,371,28.0,1968.0,Autres services professionels
41,"1051 Rue Sanguinet, Montréal, QC H2X 3E4, Canada",45.5121652,-73.5578941,H2X 3E4,368,22.0,2020.0,Autres services professionels
42,"Édifice Hydro-Québec, Montréal, QC H2Z 1A4, Canada",45.508333,-73.5625,H2Z 1A4,361,27.0,1962.0,Office
43,"500 Boulevard René-Lévesque O, Montréal, QC H2Z 1W7, Canada",45.5029704,-73.565545,H2Z 1W7,361,26.0,1983.0,Office
44,"1625 Boulevard de Maisonneuve O, Montréal, QC H3H 2N4, Canada",45.4953959,-73.5798896,H3H 2N4,351,30.0,1967.0,Autres services professionels
45,"405 Rue de la Concorde, Montréal, QC H3A 0H1, Canada",45.5071185,-73.5709073,H3A 0H1,344,34.0,2017.0,Autres services professionels
46,"Tour Intact, 2020 Boulevard Robert-Bourassa, Montréal, QC H3A 2A5, Canada",45.5039643,-73.57228559999999,H3A 2A5,341,26.0,1973.0,Office
47,"1115 Rue Sherbrooke Ouest, Montréal, QC H3A 1H3, Canada",45.5017649,-73.57697900000002,H3A 1H3,322,32.0,1964.0,Autres services professionels
48,"507 Place d'Armes #501, Montréal, QC H2Y 2W8, Canada",45.5052848,-73.55662889999998,H2Y 2W8,318,23.0,1931.0,Autres services professionels
49,"Édifice Bell, Montréal, QC H2Z 1S5, Canada",45.502273,-73.56450199999998,H2Z 1S5,315,22.0,1929.0,Office
50,"1010 Rue de la Gauchetière O, Montréal, QC H3B 2N2, Canada",45.4985083,-73.5689833,H3B 2N2,307,26.0,1977.0,Autres services professionels
51,"édifice La Laurentienne, 1100 Boulevard René-Lévesque O, Montréal, QC H3B 4N4, Canada",45.4980258,-73.57024890000002,H3B 4N4,300,27.0,1986.0,Office
52,"845 Rue Sainte-Catherine E, Montréal, QC H2L 2E4, Canada",45.5158746,-73.5596055,H2L 2E4,300,23.0,1972.0,Autres services professionels
53,"666 Rue Sherbrooke Ouest #2300, Montréal, QC H3A 1E7, Canada",45.504981,-73.573089,H3A 1E7,288,24.0,1967.0,Immeuble commercial
54,"1200 Avenue McGill College, Montréal, QC H3B 4G7, Canada",45.5013126,-73.57071009999999,H3B 4G7,280,24.0,1976.0,Autres services professionels
55,"2000 Rue Drummond, Montréal, QC H3G 2X1, Canada",45.4995225,-73.57636169999998,H3G 2X1,262,24.0,2005.0,Autres services professionels
56,"2001 Rue University, Montréal, QC H3A 3N2, Canada",45.5046599,-73.57187629999999,H3A 3N2,262,20.0,1975.0,Autres services professionels
57,"Rue de la Concorde, Montréal, QC H3A, Canada",45.5075706,-73.57033790000001,H3A,259,18.0,2007.0,Autres services professionels
58,"1085 Rue de la Cathédrale, Montréal, QC H3B 2V3, Canada",45.49921,-73.56823109999998,H3B 2V3,252,,1894.0,Immeuble commercial
59,"1201 Rue de la Visitation, Montréal, QC H2L 2L9, Canada",45.51864399999999,-73.55354399999997,H2L 2L9,235,,1853.0,Immeuble commercial
60,"635 Rue Sainte-Catherine O, Montréal, QC H3A 2B8, Canada",45.50364310000001,-73.56996889999998,H3A 2B8,230,,1859.0,Immeuble commercial
61,"460 Boulevard René-Lévesque O, Montréal, QC H2Z 1A7, Canada",45.5035435,-73.564832,H2Z 1A7,226,,1847.0,Immeuble commercial
62,"110 Rue Notre-Dame Ouest, Montréal, QC H2Y 1T2, Canada",45.5045254,-73.5561204,H2Y 1T2,226,,1829.0,Immeuble commercial
63,"De Bleury, sherbrooke, Montréal, QC H3A 1B2, Canada",45.508188,-73.571251,H3A 1B2,213,13.0,,Immeuble commercial
64,"1440 Rue de la Montagne, Montréal, QC H3G 1Z5, Canada",45.4984303,-73.57654409999998,H3G 1Z5,207,22.0,,Residential
65,"1000 Place Jean-Paul-Riopelle, Montréal, QC H2Z 2B6, Canada",45.5029091,-73.5619531,H2Z 2B6,198,13.0,2003.0,Autres services professionels
66,"University Centre, 3600 Mc Tavish St, Montreal, QC H3A 0E7, Canada",45.50354650000001,-73.5781433,H3A 0E7,184,20.0,1930.0,Autres services professionels
67,"1 Rue Quai de l'Horloge, Montréal, QC H2L 5C1, Canada",45.5122503,-73.5458503,H2L 5C1,148,,,Office
68,"3P6, 152 Notre-Dame St. East, Montreal, Quebec, Canada",45.507682,-73.5542783,,130,10.0,1914.0,Autres services professionels
69,"1117 Rue Sainte-Catherine O, Montréal, QC H3B 1H9, Canada",45.4997557,-73.57333059999998,H3B 1H9,130,10.0,1915.0,Autres services professionels
70,"1625 Clark, Montréal, QC H2X 2R4, Canada",45.5107777,-73.5667338,H2X 2R4,125,10.0,2004.0,Autres services professionels
71,"2015 Rue Drummond, Montréal, QC H3G 1W7, Canada",45.4998216,-73.5762167,H3G 1W7,118,10.0,1920.0,Autres services professionels
72,"1228 Rue Sherbrooke Ouest, Montréal, QC H3G 1H6, Canada",45.50015300000001,-73.577884,H3G 1H6,112,10.0,1912.0,Residential
73,"1909 Avenue des Canadiens-de-Montréal, Montréal, QC H4B 5G0, Canada",45.4960667,-73.5693153,H4B 5G0,85,,1976.0,Autres services professionels
74,"1288 Avenue des Canadiens-de-Montréal, Montréal, QC H3B 3B3, Canada",45.4961429,-73.5704392,H3B 3B3,≈677,55.0,2021.0,Autres services professionels
75,"800 Boulevard de Maisonneuve East, Montréal, QC H2L 1Y5, Canada",45.51628839999999,-73.5600496,H2L 1Y5,≈627,51.0,2022.0,Autres services professionels
76,"1300 Boulevard René-Lévesque O, Montréal, QC H3G 0B7, Canada",45.4968589,-73.57164519999998,H3G 0B7,≈615,50.0,,Autres services professionels
77,"800 Rue Gauvin, Montréal, QC H4Z 1A1, Canada",45.500884,-73.56176490000001,H4Z 1A1,≈578,47.0,,Autres services professionels
78,"800 Rue Gauvin, Montréal, QC H4Z 1A1, Canada",45.500884,-73.56176490000001,H4Z 1A1,≈578,47.0,,Autres services professionels
79,"387 Rue Sainte-Catherine O, Montréal, QC H3B 1A4, Canada",45.49538279999999,-73.58094859999999,H3B 1A4,≈541,44.0,,Autres services professionels
80,"385 Avenue Viger O, Montréal, QC H2Z 2B8, Canada",45.5038174,-73.5619959,H2Z 2B8,≈492,40.0,2020.0,Autres services professionels
81,"Rue Saint-Antoine O, Montréal, QC H3C 1B5, Canada",45.4962014,-73.567888,H3C 1B5,≈492,40.0,,Autres services professionels
82,"1740 Boulevard René-Lévesque O, Montréal, QC H3H 1R3, Canada",45.49229920000001,-73.576089,H3H 1R3,≈455,37.0,2020.0,Residential
83,"250 Boulevard René-Lévesque O, Montréal, QC H2Z 1Z8, Canada",45.505802,-73.5636565,H2Z 1Z8,≈455,37.0,2018.0,Residential
84,"400 Rue Sherbrooke Ouest, Montréal, QC H3A 0A9, Canada",45.5075559,-73.57139939999998,H3A 0A9,≈455,37.0,2008.0,Autres services professionels
