,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"215 Rue de la Commune O, Montréal, QC H2Y 3W8, Canada",ChIJRdS7aFgayUwRSmkpih97T78,"215 rue de la Commune Ouest  (MTL), Montreal,Canada",45.5019987,-73.553966,1,H2Y 3W8,OK,street_address
1,ROOFTOP,"1015 Rue St-Alexandre, Montréal, QC H2Z 1N9, Canada",ChIJo70z-1oayUwRrdB5G3G_8Z8,"1015 rue Saint-Alexandre  (MTL), Montreal,Canada",45.5030523,-73.562862,1,H2Z 1N9,OK,street_address
2,ROOFTOP,"221 Rue de la Commune O, Montréal, QC H2Y 2C9, Canada",ChIJuyKCaFgayUwRf8vYQD_y1Yo,"221 rue de la Commune Ouest  (MTL), Montreal,Canada",45.5018286,-73.5539479,1,H2Y 2C9,OK,street_address
3,ROOFTOP,"321 Rue de la Commune O, Montréal, QC H2Y 2E1, Canada",ChIJdRtkJ_YayUwRGbxEcccJjVY,"321 rue de la Commune Ouest  (MTL), Montreal,Canada",45.5006979,-73.5536529,1,H2Y 2E1,OK,street_address
4,ROOFTOP,"1101 Rue St-Alexandre, Montréal, QC H2Z 1P8, Canada",ChIJJUFaNUUayUwRnkW4qJ5fmwU,"1101 rue Saint-Alexandre  (MTL), Montreal,Canada",45.5041243,-73.5648195,1,H2Z 1P8,OK,street_address
5,ROOFTOP,"357 Rue de la Commune O, Montréal, QC H2Y 2E2, Canada",ChIJB4f5GfYayUwRN_wI_Drj6j0,"357 rue de la Commune Ouest  (MTL), Montreal,Canada",45.49970649999999,-73.5532167,1,H2Y 2E2,OK,street_address
6,ROOFTOP,"1407 Rue St-Alexandre, Montréal, QC J3V 6H1, Canada",ChIJU8g6hkUayUwR3-nEe0aVH1s,"1407 rue Saint-Alexandre  (MTL), Montreal,Canada",45.50561769999999,-73.5679875,1,J3V 6H1,OK,premise
7,ROOFTOP,"1425 Rue St-Alexandre, Montréal, QC H3A 2G6, Canada",ChIJLTmNiEUayUwRE1YRRlw7ric,"1425 rue Saint-Alexandre  (MTL), Montreal,Canada",45.5056642,-73.5681384,1,H3A 2G6,OK,street_address
8,ROOFTOP,"131 Rue du Port, Montréal, QC H2Y 2N9, Canada",ChIJe8x4XVgayUwRA9JQI9u5sKE,"131 rue du Port  (MTL), Montreal,Canada",45.501861,-73.554396,1,H2Y 2N9,OK,street_address
9,ROOFTOP,"400 Rue Dowd, Montréal, QC H2Z 1B7, Canada",ChIJ4Uz3t1oayUwRY01xt_-CnRo,"400 rue Dowd  (MTL), Montreal,Canada",45.50406599999999,-73.563982,1,H2Z 1B7,OK,street_address
10,ROOFTOP,"204 Place d'Youville, Montréal, QC H2Y 2B4, Canada",ChIJL0LlQ1gayUwRsIbV7i7tztE,"204 place D'Youville  (MTL), Montreal,Canada",45.50228629999999,-73.5544783,1,H2Y 2B4,OK,street_address
11,ROOFTOP,"371 Rue Dowd, Montréal, QC H2Z 1B6, Canada",ChIJv_0KsVoayUwRS39IsQaP4n4,"371 rue Dowd  (MTL), Montreal,Canada",45.504475,-73.56401799999999,1,H2Z 1B6,OK,street_address
12,ROOFTOP,"224 Place d'Youville, Montréal, QC H2Y 2B4, Canada",ChIJaTOzXFgayUwRbUgW4TCZYlo,"224 place D'Youville  (MTL), Montreal,Canada",45.5020379,-73.5546131,1,H2Y 2B4,OK,street_address
13,ROOFTOP,"3421 Rue Durocher, Montréal, QC H2X 2B4, Canada",ChIJ8buYgEgayUwRABG_-9ww7dA,"3421 rue Durocher  (MTL), Montreal,Canada",45.5074511,-73.5727216,1,H2X 2B4,OK,street_address
14,ROOFTOP,"3433 Rue Durocher, Montréal, QC H2X 2C8, Canada",ChIJCw4kYUgayUwRPilm0adMgeM,"3433 rue Durocher  (MTL), Montreal,Canada",45.5076145,-73.573094,1,H2X 2C8,OK,street_address
15,ROOFTOP,"203 Place d'Youville, Montréal, QC H2Y 2B3, Canada",ChIJdRFST1gayUwRRe6604IyhVc,"203 place D'Youville  (MTL), Montreal,Canada",45.50236140000001,-73.5550116,1,H2Y 2B3,OK,premise
16,ROOFTOP,"3455 Durocher, Montréal, QC H2X 2C9, Canada",ChIJcZk-Z0gayUwRshLmhtq8dbQ,"3455 rue Durocher  (MTL), Montreal,Canada",45.50770139999999,-73.57327529999999,1,H2X 2C9,OK,premise
17,ROOFTOP,"203 Place d'Youville, Montréal, QC H2Y 2B3, Canada",ChIJdRFST1gayUwRRe6604IyhVc,"203 place D'Youville  (MTL), Montreal,Canada",45.50236140000001,-73.5550116,1,H2Y 2B3,OK,premise
18,ROOFTOP,"203 Place d'Youville, Montréal, QC H2Y 2B3, Canada",ChIJdRFST1gayUwRRe6604IyhVc,"203 place D'Youville  (MTL), Montreal,Canada",45.50236140000001,-73.5550116,1,H2Y 2B3,OK,premise
19,ROOFTOP,"3475 Rue Durocher, Montréal, QC H2X 2C6, Canada",ChIJ58MRP0gayUwR2NGjzg_MDDw,"3475 rue Durocher  (MTL), Montreal,Canada",45.5081768,-73.5741929,1,H2X 2C6,OK,street_address
20,ROOFTOP,"206 Rue Saint-Paul O, Montréal, QC H2Y 1Z9, Canada",ChIJPVXbS1gayUwR5l07E9Zhr54,"206 rue Saint-Paul Ouest  (MTL), Montreal,Canada",45.502534,-73.55528,1,H2Y 1Z9,OK,street_address
21,ROOFTOP,"3489 Rue Durocher, Montréal, QC H2X 2C6, Canada",ChIJ-7-bPkgayUwR0UL2MsfavaE,"3489 rue Durocher  (MTL), Montreal,Canada",45.508194,-73.5744699,1,H2X 2C6,OK,street_address
22,ROOFTOP,"206 Rue Saint-Paul O, Montréal, QC H2Y 1Z9, Canada",ChIJPVXbS1gayUwR5l07E9Zhr54,"206 rue Saint-Paul Ouest  (MTL), Montreal,Canada",45.502534,-73.55528,1,H2Y 1Z9,OK,street_address
